WKT,name,description
"POINT (-101.8743267 33.5850757)", Name 4000 ,
"POINT (-101.8814222 33.5828625)", Name 4001 ,
"POINT (-101.8805369 33.5851670)", Name 4002 ,
"POINT (-101.8737754 33.5844128)", Name 4003 ,
"POINT (-101.8721725 33.5812499)", Name 4004 ,
"POINT (-101.8748702 33.5844956)", Name 4005 ,
"POINT (-101.8777720 33.5845004)", Name 4006 ,
"POINT (-101.8805893 33.5806577)", Name 4007 ,
"POINT (-101.8821509 33.5849341)", Name 4008 ,
"POINT (-101.8813451 33.5820032)", Name 4009 ,
"POINT (-101.8744296 33.5855761)", Name 4010 ,
"POINT (-101.8717824 33.5846944)", Name 4011 ,
"POINT (-101.8757666 33.5848722)", Name 4012 ,
"POINT (-101.8817391 33.5913419)", Name 4013 ,
"POINT (-101.8876793 33.5820014)", Name 4014 ,
"POINT (-101.8798616 33.5815391)", Name 4015 ,
"POINT (-101.8761565 33.5821585)", Name 4016 ,
"POINT (-101.8805747 33.5800326)", Name 4017 ,
"POINT (-101.8721750 33.5864427)", Name 4018 ,
"POINT (-101.8734936 33.5867304)", Name 4019 ,
"POINT (-101.8786367 33.5873721)", Name 4020 ,
"POINT (-101.8805934 33.5794449)", Name 4021 ,
"POINT (-101.8851777 33.5837941)", Name 4022 ,
"POINT (-101.8732802 33.5806708)", Name 4023 ,
